grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int
537,200.919,14.793,159.56,10031.2,27.2,135.0,13.11,(001),[100],Cube {001}<100>,14.8,"0,0,1","1,0,0"
538,157.824,3.016,223.46,10731.06,49.61,1962.0,49.98,(00-1),[-2-50],Other/Random,21.49,"0,0,-1","-2,-5,0"
539,341.572,21.437,40.76,11239.74,53.382,2709.0,58.73,(-3-1-8),[38-2],Other/Random,30.86,"-3,-1,-8","3,8,-2"
540,324.6,53.613,52.42,12192.59,38.842,513.0,25.56,(564563),[5-60],Other/Random,39.95,"56,45,63","5,-6,0"
541,208.874,51.932,134.52,12502.73,39.889,972.0,35.18,(-8-5-9),[-691],Other/Random,34.35,"-8,-5,-9","-6,9,1"
542,30.961,49.731,321.92,13180.94,47.967,2430.0,55.62,(-5-3-5),[5-91],Other/Random,28.52,"-5,-3,-5","5,-9,1"
543,327.652,53.001,53.05,13919.1,55.5,1782.0,47.63,(644572),[15-18-2],Other/Random,40.28,"64,45,72","15,-18,-2"
544,36.555,32.468,297.33,15340.99,37.019,477.0,24.64,(438),[1435-20],Other/Random,37.43,"4,3,8","14,35,-20"
545,237.334,5.599,145.73,16181.5,28.5,54.0,8.29,(-10-9),[63-27-7],Other/Random,22.63,"-1,0,-9","63,-27,-7"
546,165.157,46.279,220.71,841.2,28.2,45.0,7.57,(414),[-356318],Other/Random,32.09,"4,1,4","-35,63,18"
547,210.16,49.571,129.46,958.92,76.311,11220.0,119.54,(-7-4-7),[-21284],Other/Random,37.19,"-7,-4,-7","-21,28,4"
548,160.536,15.131,220.92,977.46,31.286,252.0,17.91,(-9-4-36),[-15-408],Other/Random,26.2,"-9,-4,-36","-15,-40,8"
549,201.924,18.283,147.0,1176.65,51.763,2619.0,57.75,(16756),[-1-61],Other/Random,21.35,"16,7,56","-1,-6,1"
550,319.899,44.616,42.42,2787.22,51.984,1098.0,37.39,(-6-5-8),[-972-40],Other/Random,30.95,"-6,-5,-8","-9,72,-40"
551,42.381,44.404,314.91,3935.65,35.382,306.0,19.74,(151421),[-756-32],Other/Random,32.67,"15,14,21","-7,56,-32"
552,27.246,43.732,319.57,4242.66,43.56,450.0,23.94,(542863),[218-9],Other/Random,28.08,"54,28,63","2,18,-9"
553,61.755,53.524,316.88,4639.45,33.111,243.0,17.59,(151018),[-56-4572],Other/Random,36.16,"15,10,18","-56,-45,72"
554,28.798,47.019,319.17,5438.52,33.429,504.0,25.33,(16918),[09-5],Other/Random,29.13,"16,9,18","0,9,-5"
555,332.286,50.036,38.19,6122.19,52.008,1125.0,37.85,(212),[5-90],Other/Random,28.37,"2,1,2","5,-9,0"
556,51.826,41.927,297.61,6552.38,74.975,3285.0,64.67,(-45-35-63),[-403],Other/Random,26.17,"-45,-35,-63","-4,0,3"
557,168.907,38.484,213.22,6873.89,60.853,5193.0,81.31,(-49-9-63),[-16-5621],Other/Random,26.76,"-49,-9,-63","-16,-56,21"
558,202.229,30.635,150.47,8435.54,39.231,117.0,12.21,(529),[-4-369],Other/Random,22.84,"5,2,9","-4,-36,9"
559,45.773,57.821,318.59,9214.42,45.862,783.0,31.57,(-8-7-8),[2140-56],Other/Random,39.17,"-8,-7,-8","21,40,-56"
560,35.315,55.054,310.19,12059.7,32.7,90.0,10.7,(-6-5-7),[4-50],Other/Random,38.87,"-6,-5,-7","4,-5,0"
561,155.141,41.712,224.11,13462.86,54.219,2466.0,56.03,(-32-15-40),[-9-4525],Other/Random,31.06,"-32,-15,-40","-9,-45,25"
562,2.443,12.015,13.17,14278.76,46.453,2025.0,50.78,(209),[-270],Other/Random,19.68,"2,0,9","-2,7,0"
563,180.674,29.196,160.62,14650.98,55.973,657.0,28.92,(509),[-12-427],Other/Random,24.55,"5,0,9","-12,-42,7"
564,25.36,42.518,314.39,15493.39,41.619,567.0,26.87,(251230),[945-25],Other/Random,32.28,"25,12,30","9,45,-25"
565,330.685,24.973,56.62,15901.5,30.0,36.0,6.77,(-18-10-45),[2863-27],Other/Random,30.53,"-18,-10,-45","28,63,-27"
566,51.659,14.705,320.52,17071.95,54.514,2574.0,57.25,(-6-5-30),[-1843],Other/Random,19.07,"-6,-5,-30","-18,4,3"
567,46.855,54.999,325.86,1991.63,43.849,657.0,28.92,(989),[-8-714],Other/Random,36.82,"9,8,9","-8,-7,14"
568,310.975,53.086,47.94,2071.87,64.163,4527.0,75.92,(-8-7-8),[-49-1863],Other/Random,34.7,"-8,-7,-8","-49,-18,63"
569,179.106,14.024,168.02,2980.98,48.42,450.0,23.94,(-10-4),[2-90],Other/Random,19.02,"-1,0,-4","2,-9,0"
570,229.114,37.777,135.39,3385.46,60.02,4077.0,72.05,(-6-5-10),[10-2-5],Other/Random,30.9,"-6,-5,-10","10,-2,-5"
571,161.342,20.345,221.76,3659.42,41.053,513.0,25.56,(-8-3-24),[-8-205],Other/Random,29.81,"-8,-3,-24","-8,-20,5"
572,173.308,33.105,162.52,3805.75,70.386,2961.0,61.4,(-6-1-9),[12-30-5],Other/Random,25.93,"-6,-1,-9","12,-30,-5"
573,344.27,41.355,46.95,3896.73,71.4,5985.0,87.29,(-24-7-28),[1535-21],Other/Random,37.15,"-24,-7,-28","15,35,-21"
574,320.309,4.328,40.39,3979.1,71.32,5679.0,85.03,(001),[100],Cube {001}<100>,4.38,"0,0,1","1,0,0"
575,331.302,41.5,51.76,5153.41,53.408,1368.0,41.73,(-49-27-63),[28-5],Other/Random,36.38,"-49,-27,-63","2,8,-5"
576,13.526,30.297,342.3,5910.11,73.772,7209.0,95.81,(417),[06-1],Other/Random,18.14,"4,1,7","0,6,-1"
