grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
509,149.321,40.785,221.71,5493.42,52.933,3213.0,63.96,(-27-16-36),[-2-189],Other/Random,28.34,"-27,-16,-36","-2,-18,9",False,40.78,False,17.46,False,25.96,False,19.42
510,15.227,16.267,334.93,6069.98,54.58,3447.0,66.25,(18763),[100],Other/Random,19.0,"18,7,63","1,0,0",False,16.27,False,41.17,True,11.24,False,36.6
511,11.336,45.192,321.28,7270.77,32.318,198.0,15.88,(515),[26-3],Other/Random,31.71,"5,1,5","2,6,-3",False,45.19,False,27.25,False,31.61,False,23.65
512,303.149,13.08,74.49,7402.46,43.895,684.0,29.51,(001),[-9-32],Other/Random,21.93,"0,0,1","-9,-3,2",True,13.08,False,41.99,False,21.24,False,30.27
513,164.414,35.116,212.3,7975.64,54.699,2394.0,55.21,(-10-3-15),[-3-155],Other/Random,24.63,"-10,-3,-15","-3,-15,5",False,35.12,False,28.19,False,21.31,False,28.82
514,41.879,48.203,320.25,9242.17,34.962,1197.0,39.04,(1-11),[-29-5],Other/Random,31.92,"1,-1,1","-2,9,-5",False,48.2,True,6.97,False,31.02,False,19.43
515,46.524,50.576,320.59,9469.59,50.087,2277.0,53.84,(1-11),[-1559],Other/Random,35.14,"1,-1,1","-15,5,9",False,50.58,True,4.33,False,34.5,False,21.63
516,34.859,57.314,310.8,11443.54,36.205,792.0,31.76,(1-11),[10-1],Other/Random,39.66,"1,-1,1","1,0,-1",False,46.32,True,8.79,False,39.66,True,5.81
517,1.52,22.871,24.67,11979.87,41.953,1152.0,38.3,(307),[-8183],Other/Random,29.53,"3,0,7","-8,18,3",False,22.87,False,40.34,False,26.08,False,22.48
518,13.868,22.507,313.0,12265.47,52.597,4734.0,77.64,(18545),[915-5],Other/Random,25.41,"18,5,45","9,15,-5",False,22.51,False,36.78,False,34.51,False,21.42
519,187.731,33.196,156.05,12790.8,50.565,2916.0,60.93,(619),[-2-92],Other/Random,21.96,"6,1,9","-2,-9,2",False,33.2,False,32.98,False,17.96,False,33.92
520,205.471,35.586,120.88,12976.41,44.223,1737.0,47.03,(14621),[-5-96],Other/Random,37.3,"14,6,21","-5,-9,6",False,35.59,False,23.46,False,40.22,False,26.74
521,30.365,38.24,326.06,13278.61,63.997,8829.0,106.03,(10615),[08-3],Other/Random,23.74,"10,6,15","0,8,-3",False,38.24,False,19.53,False,20.37,False,24.87
522,134.969,41.488,235.76,13391.16,60.862,6894.0,93.69,(111),[10-1],Other/Random,30.57,"1,1,1","1,0,-1",False,41.49,True,13.25,False,33.3,True,11.98
523,141.365,39.176,227.65,13511.66,50.279,2358.0,54.79,(-5-4-8),[0-95],Other/Random,31.97,"-5,-4,-8","0,-9,5",False,39.18,False,16.22,False,27.88,False,17.23
524,359.187,41.848,6.21,13968.7,52.645,4365.0,74.55,(110),[001],Goss {110}<001>,6.47,"1,1,0","0,0,1",False,41.85,False,34.85,True,5.63,False,41.0
525,15.579,40.077,316.58,15496.8,24.6,45.0,7.57,(361045),[38-4],Other/Random,33.89,"36,10,45","3,8,-4",False,40.08,False,25.89,False,32.76,False,24.84
526,339.727,17.652,12.91,15657.34,32.375,648.0,28.72,(-18-7-63),[100],Other/Random,19.11,"-18,-7,-63","1,0,0",False,17.65,False,39.19,True,8.84,False,37.22
527,28.716,18.666,347.29,316.0,32.8,135.0,13.11,(12742),[-1863-7],Other/Random,24.54,"12,7,42","-18,63,-7",False,18.67,False,37.08,False,17.12,False,28.61
528,185.252,21.712,187.07,668.32,51.245,1872.0,48.82,(205),[100],Other/Random,24.93,"2,0,5","1,0,0",False,21.71,False,39.77,True,12.11,False,33.27
529,156.089,19.573,187.65,1486.84,55.064,2664.0,58.24,(-7-3-21),[2-70],Other/Random,25.4,"-7,-3,-21","2,-7,0",False,19.57,False,36.95,False,16.89,False,28.41
530,174.242,29.288,199.7,4375.17,37.516,837.0,32.65,(-5-1-9),[100],Other/Random,22.0,"-5,-1,-9","1,0,0",False,29.29,False,35.62,True,14.94,False,34.59
531,188.047,18.809,146.48,5917.77,28.923,351.0,21.14,(103),[-20-459],Other/Random,27.05,"1,0,3","-20,-45,9",False,18.81,False,40.81,False,26.02,False,23.23
532,17.872,35.16,321.71,7863.54,61.983,4221.0,73.31,(629),[520-8],Other/Random,28.72,"6,2,9","5,20,-8",False,35.16,False,27.07,False,25.51,False,27.07
533,20.83,32.178,311.48,8133.15,61.541,3609.0,67.79,(271045),[614-7],Other/Random,36.43,"27,10,45","6,14,-7",False,32.18,False,27.7,False,32.38,False,28.44
534,220.354,44.614,135.19,8629.58,44.09,1098.0,37.39,(-111),[7-6336],Other/Random,32.09,"-1,1,1","7,-63,36",False,44.61,True,10.72,False,30.06,False,15.85
535,159.861,49.037,215.05,9579.59,47.629,2331.0,54.48,(642772),[-9182],Other/Random,26.08,"64,27,72","-9,18,2",False,44.85,False,20.29,False,26.07,False,19.65
536,47.093,51.245,312.45,9849.19,50.868,3069.0,62.51,(1-11),[10-1],Other/Random,34.63,"1,-1,1","1,0,-1",False,51.24,True,3.87,False,37.08,True,13.83
537,200.919,14.793,159.56,10031.2,27.2,135.0,13.11,(001),[100],Cube {001}<100>,14.8,"0,0,1","1,0,0",True,14.79,False,41.54,True,5.23,False,39.9
538,157.824,3.016,223.46,10731.06,49.61,1962.0,49.98,(001),[-2-50],Other/Random,21.49,"0,0,1","-2,-5,0",True,3.02,False,51.96,False,21.34,False,23.84
539,341.572,21.437,40.76,11239.74,53.382,2709.0,58.73,(-3-1-8),[38-2],Other/Random,30.86,"-3,-1,-8","3,8,-2",False,21.44,False,36.46,False,24.39,False,28.07
540,324.6,53.613,52.42,12192.59,38.842,513.0,25.56,(-1-11),[101],Other/Random,39.95,"-1,-1,1","1,0,1",False,48.99,True,7.86,False,39.69,True,5.61
541,208.874,51.932,134.52,12502.73,39.889,972.0,35.18,(-111),[101],Other/Random,34.35,"-1,1,1","1,0,1",False,46.42,True,13.22,False,34.28,True,11.13
542,30.961,49.731,321.92,13180.94,47.967,2430.0,55.62,(1-11),[5-91],Other/Random,28.52,"1,-1,1","5,-9,1",False,49.13,True,12.16,False,28.35,False,17.24
543,327.652,53.001,53.05,13919.1,55.5,1782.0,47.63,(-1-11),[101],Other/Random,40.28,"-1,-1,1","1,0,1",False,47.57,True,10.36,False,40.08,True,7.09
544,36.555,32.468,297.33,15340.99,37.019,477.0,24.64,(438),[1435-20],Other/Random,37.43,"4,3,8","14,35,-20",False,32.47,False,22.98,False,35.39,False,23.98
545,237.334,5.599,145.73,16181.5,28.5,54.0,8.29,(001),[63-27-7],Other/Random,22.63,"0,0,1","63,-27,-7",True,5.6,False,49.28,False,23.39,False,22.02
546,165.157,46.279,220.71,841.2,28.2,45.0,7.57,(414),[-356318],Other/Random,32.09,"4,1,4","-35,63,18",False,45.69,False,24.6,False,31.98,False,21.08
547,210.16,49.571,129.46,958.92,76.311,11220.0,119.54,(-111),[101],Other/Random,37.19,"-1,1,1","1,0,1",False,48.84,True,12.78,False,36.77,True,10.89
548,160.536,15.131,220.92,977.46,31.286,252.0,17.91,(-9-4-36),[-15-408],Other/Random,26.2,"-9,-4,-36","-15,-40,8",False,15.13,False,41.44,False,22.61,False,26.33
549,201.924,18.283,147.0,1176.65,51.763,2619.0,57.75,(16756),[100],Other/Random,21.35,"16,7,56","1,0,0",False,18.28,False,38.39,True,13.81,False,36.15
550,319.899,44.616,42.42,2787.22,51.984,1098.0,37.39,(-1-11),[-972-40],Other/Random,30.95,"-1,-1,1","-9,72,-40",False,44.62,True,10.78,False,29.08,False,17.64
551,42.381,44.404,314.91,3935.65,35.382,306.0,19.74,(1-11),[-756-32],Other/Random,32.67,"1,-1,1","-7,56,-32",False,44.4,True,10.52,False,30.4,False,16.19
552,27.246,43.732,319.57,4242.66,43.56,450.0,23.94,(542863),[218-9],Other/Random,28.08,"54,28,63","2,18,-9",False,43.73,False,17.31,False,26.97,False,18.7
553,61.755,53.524,316.88,4639.45,33.111,243.0,17.59,(1-11),[-56-4572],Other/Random,36.16,"1,-1,1","-56,-45,72",False,44.9,True,13.61,False,45.3,False,27.62
554,28.798,47.019,319.17,5438.52,33.429,504.0,25.33,(1-11),[09-5],Other/Random,29.13,"1,-1,1","0,9,-5",False,47.02,True,14.71,False,28.62,False,16.48
555,332.286,50.036,38.19,6122.19,52.008,1125.0,37.85,(-1-11),[5-90],Other/Random,28.37,"-1,-1,1","5,-9,0",False,47.27,True,14.45,False,28.3,False,16.73
556,51.826,41.927,297.61,6552.38,74.975,3285.0,64.67,(1-11),[10-1],Other/Random,26.17,"1,-1,1","1,0,-1",False,41.93,True,13.77,False,36.42,True,9.0
557,168.907,38.484,213.22,6873.89,60.853,5193.0,81.31,(-49-9-63),[-16-5621],Other/Random,26.76,"-49,-9,-63","-16,-56,21",False,38.48,False,29.12,False,25.38,False,28.37
558,202.229,30.635,150.47,8435.54,39.231,117.0,12.21,(529),[-4-369],Other/Random,22.84,"5,2,9","-4,-36,9",False,30.63,False,28.31,False,15.01,False,30.62
559,45.773,57.821,318.59,9214.42,45.862,783.0,31.57,(1-11),[2140-56],Other/Random,39.17,"1,-1,1","21,40,-56",False,52.66,True,3.15,False,39.15,False,19.22
560,35.315,55.054,310.19,12059.7,32.7,90.0,10.7,(1-11),[10-1],Other/Random,38.87,"1,-1,1","1,0,-1",False,48.02,True,7.93,False,38.78,True,6.29
561,155.141,41.712,224.11,13462.86,54.219,2466.0,56.03,(-32-15-40),[-9-4525],Other/Random,31.06,"-32,-15,-40","-9,-45,25",False,41.71,False,19.77,False,29.55,False,19.51
562,2.443,12.015,13.17,14278.76,46.453,2025.0,50.78,(001),[-270],Other/Random,19.68,"0,0,1","-2,7,0",True,12.01,False,46.38,False,15.57,False,29.78
563,180.674,29.196,160.62,14650.98,55.973,657.0,28.92,(509),[-12-427],Other/Random,24.55,"5,0,9","-12,-42,7",False,29.2,False,37.91,False,18.79,False,29.96
564,25.36,42.518,314.39,15493.39,41.619,567.0,26.87,(251230),[945-25],Other/Random,32.28,"25,12,30","9,45,-25",False,42.52,False,19.05,False,30.94,False,18.56
565,330.685,24.973,56.62,15901.5,30.0,36.0,6.77,(-18-10-45),[2863-27],Other/Random,30.53,"-18,-10,-45","28,63,-27",False,24.97,False,31.21,False,31.75,False,28.65
566,51.659,14.705,320.52,17071.95,54.514,2574.0,57.25,(001),[-1843],Other/Random,19.07,"0,0,1","-18,4,3",True,14.71,False,40.16,False,16.02,False,33.08
567,46.855,54.999,325.86,1991.63,43.849,657.0,28.92,(1-11),[-8-714],Other/Random,36.82,"1,-1,1","-8,-7,14",False,53.3,True,1.54,False,36.79,False,26.95
568,310.975,53.086,47.94,2071.87,64.163,4527.0,75.92,(-1-11),[101],Other/Random,34.7,"-1,-1,1","1,0,1",False,52.87,True,3.65,False,39.11,True,14.44
569,179.106,14.024,168.02,2980.98,48.42,450.0,23.94,(001),[100],Other/Random,19.02,"0,0,1","1,0,0",True,14.02,False,45.39,True,12.85,False,32.59
570,229.114,37.777,135.39,3385.46,60.02,4077.0,72.05,(-6-5-10),[10-2-5],Other/Random,30.9,"-6,-5,-10","10,-2,-5",False,37.78,False,17.21,False,27.67,False,21.5
571,161.342,20.345,221.76,3659.42,41.053,513.0,25.56,(-8-3-24),[-8-205],Other/Random,29.81,"-8,-3,-24","-8,-20,5",False,20.34,False,37.28,False,24.97,False,27.05
572,173.308,33.105,162.52,3805.75,70.386,2961.0,61.4,(-6-1-9),[12-30-5],Other/Random,25.93,"-6,-1,-9","12,-30,-5",False,33.1,False,33.53,False,23.36,False,25.25
573,344.27,41.355,46.95,3896.73,71.4,5985.0,87.29,(-24-7-28),[1535-21],Other/Random,37.15,"-24,-7,-28","15,35,-21",False,41.35,False,25.31,False,36.31,False,24.33
574,320.309,4.328,40.39,3979.1,71.32,5679.0,85.03,(001),[100],Cube {001}<100>,4.38,"0,0,1","1,0,0",True,4.33,False,50.43,True,2.87,False,42.2
575,331.302,41.5,51.76,5153.41,53.408,1368.0,41.73,(-49-27-63),[28-5],Other/Random,36.38,"-49,-27,-63","2,8,-5",False,41.5,False,17.88,False,34.37,False,17.89
576,13.526,30.297,342.3,5910.11,73.772,7209.0,95.81,(417),[100],Other/Random,18.14,"4,1,7","1,0,0",False,30.3,False,31.81,True,9.02,False,36.21
577,225.132,13.57,97.7,7738.29,38.0,189.0,15.51,(001),[2821-8],Other/Random,15.66,"0,0,1","28,21,-8",True,13.57,False,41.17,False,38.99,False,15.63
578,228.006,55.967,133.85,8447.78,45.873,711.0,30.09,(-111),[73-9],Other/Random,37.39,"-1,1,1","7,3,-9",False,51.98,True,2.76,False,40.23,False,15.75
579,135.218,54.794,226.86,9356.66,48.402,873.0,33.34,(111),[10-1],Other/Random,37.69,"1,1,1","1,0,-1",False,54.55,True,0.19,False,38.59,True,13.01
580,121.386,52.259,218.81,9742.0,53.835,2943.0,61.21,(111),[1615-24],Other/Random,38.62,"1,1,1","16,15,-24",False,47.54,True,11.21,False,42.84,False,29.66
581,53.755,46.231,307.73,9785.88,44.229,630.0,28.32,(1-11),[10-1],Other/Random,28.31,"1,-1,1","1,0,-1",False,46.23,True,10.85,False,36.58,True,13.66
582,320.971,15.389,27.52,10016.38,47.896,1818.0,48.11,(-4-3-18),[100],Other/Random,19.2,"-4,-3,-18","1,0,0",False,15.39,False,39.45,True,14.2,False,33.31
583,32.161,42.128,317.85,11576.0,43.0,432.0,23.45,(14918),[02-1],Other/Random,28.84,"14,9,18","0,2,-1",False,42.13,False,15.8,False,26.8,False,18.3
584,214.086,51.13,130.05,11800.32,73.207,4698.0,77.34,(-111),[101],Other/Random,37.06,"-1,1,1","1,0,1",False,49.85,True,9.42,False,36.67,True,8.65
585,149.195,51.728,217.65,12469.32,42.182,594.0,27.5,(111),[-59-1],Other/Random,29.12,"1,1,1","-5,9,-1",False,47.6,True,11.75,False,29.1,False,16.87
586,320.404,48.091,43.97,12910.54,53.363,1017.0,35.98,(-1-11),[101],Other/Random,32.78,"-1,-1,1","1,0,1",False,48.09,True,7.87,False,31.77,True,14.87
587,337.499,41.294,48.38,14439.06,85.642,9603.0,110.58,(-12-5-15),[515-9],Other/Random,35.45,"-12,-5,-15","5,15,-9",False,41.29,False,21.32,False,34.05,False,20.81
588,5.91,34.007,9.57,15466.74,45.032,855.0,32.99,(619),[100],Other/Random,18.29,"6,1,9","1,0,0",False,34.01,False,33.59,True,14.84,False,31.54
589,302.844,51.823,57.82,16132.17,49.139,1944.0,49.75,(-1-11),[101],Other/Random,27.18,"-1,-1,1","1,0,1",False,48.67,True,10.16,False,43.25,True,9.77
590,21.907,32.373,1.24,17251.51,57.544,1539.0,44.27,(12520),[-370],Other/Random,26.1,"12,5,20","-3,7,0",False,32.37,False,27.16,False,22.96,False,22.06
591,302.426,28.879,77.94,544.68,71.994,4446.0,75.24,(281863),[-21-712],Other/Random,28.64,"28,18,63","-21,-7,12",False,28.88,False,27.07,False,33.4,False,22.44
592,178.273,40.91,146.72,1225.39,38.654,234.0,17.26,(-70-8),[5-9-4],Other/Random,34.8,"-7,0,-8","5,-9,-4",False,40.91,False,34.35,False,34.6,False,26.75
593,56.463,7.803,289.72,2485.59,55.608,1494.0,43.61,(001),[-8-21],Other/Random,15.86,"0,0,1","-8,-2,1",True,7.8,False,47.11,False,15.46,False,32.12
594,49.308,34.148,300.89,3837.98,87.816,3078.0,62.6,(-9-8-18),[-9-15],Other/Random,27.63,"-9,-8,-18","-9,-1,5",False,34.15,False,20.8,False,29.17,False,16.65
595,189.091,21.846,185.64,4097.42,84.983,10410.0,115.14,(18545),[100],Other/Random,26.3,"18,5,45","1,0,0",False,21.85,False,38.56,True,14.48,False,30.74
596,158.308,47.301,213.4,5448.05,55.182,1530.0,44.14,(525),[-490],Other/Random,24.09,"5,2,5","-4,9,0",False,46.93,False,19.5,False,23.98,False,21.23
597,231.231,2.716,113.65,5670.02,70.569,3528.0,67.02,(001),[720],Other/Random,15.36,"0,0,1","7,2,0",True,2.72,False,52.04,False,15.29,False,30.0
598,25.982,23.042,343.38,7137.35,63.693,2493.0,56.34,(15840),[100],Other/Random,24.85,"15,8,40","1,0,0",False,23.04,False,33.55,True,12.4,False,34.9
599,234.439,52.306,124.97,7728.43,63.249,2169.0,52.55,(-111),[101],Other/Random,29.52,"-1,1,1","1,0,1",False,49.93,True,7.96,False,42.19,True,10.76
600,2.308,26.245,21.67,8573.02,84.231,8406.0,103.45,(102),[-12305],Other/Random,30.07,"1,0,2","-12,30,5",False,26.24,False,38.44,False,23.76,False,24.82
601,47.316,38.655,314.4,9151.69,60.747,4158.0,72.76,(-27-25-45),[-1427],Other/Random,31.05,"-27,-25,-45","-14,2,7",False,38.65,False,16.17,False,27.81,False,19.78
602,61.247,49.436,312.51,9273.71,43.974,342.0,20.87,(1-11),[-3-24],Other/Random,31.16,"1,-1,1","-3,-2,4",False,48.24,True,13.84,False,41.81,False,22.63
603,150.714,52.841,225.17,10054.93,57.993,1359.0,41.6,(111),[10-1],Other/Random,34.5,"1,1,1","1,0,-1",False,45.96,True,12.8,False,34.47,True,10.69
604,154.106,14.244,224.33,11057.29,90.134,6642.0,91.96,(001),[-2-61],Other/Random,23.26,"0,0,1","-2,-6,1",True,14.24,False,41.46,False,20.07,False,29.06
605,152.594,33.258,239.31,11196.51,67.287,2538.0,56.85,(-4-2-7),[-5-106],Other/Random,35.68,"-4,-2,-7","-5,-10,6",False,33.26,False,24.55,False,38.36,False,27.39
606,332.758,50.618,42.68,12046.93,50.231,351.0,21.14,(-1-11),[101],Other/Random,31.81,"-1,-1,1","1,0,1",False,46.59,True,14.68,False,31.73,True,13.62
607,202.073,22.678,135.82,13126.18,61.154,2574.0,57.25,(9424),[-21-5616],Other/Random,31.57,"9,4,24","-21,-56,16",False,22.68,False,34.65,False,25.01,False,29.35
608,359.946,28.208,17.61,13767.58,56.763,2052.0,51.11,(-50-9),[27-1],Other/Random,24.26,"-5,0,-9","2,7,-1",False,28.21,False,38.56,False,17.56,False,30.45
609,63.288,19.323,285.3,13822.37,90.911,8919.0,106.56,(-2-1-6),[-15-35],Other/Random,22.41,"-2,-1,-6","-15,-3,5",False,19.32,False,36.74,False,21.3,False,27.81
610,37.153,48.755,322.77,15228.91,60.567,3429.0,66.08,(1-11),[-210-5],Other/Random,29.37,"1,-1,1","-2,10,-5",False,48.76,True,8.58,False,28.9,False,19.82
611,148.352,47.609,225.9,15696.25,50.616,774.0,31.39,(111),[10-1],Other/Random,32.86,"1,1,1","1,0,-1",False,47.61,True,12.58,False,32.17,True,13.2
612,226.549,53.401,145.91,16064.34,106.505,14770.0,137.13,(-111),[9-4-5],Other/Random,35.8,"-1,1,1","9,-4,-5",False,53.4,True,1.83,False,35.69,False,26.82
613,238.889,48.429,155.79,1907.85,53.415,1062.0,36.77,(-111),[63-56-27],Other/Random,45.63,"-1,1,1","63,-56,-27",False,48.43,True,12.55,False,45.23,False,18.07
614,24.5,49.111,327.66,2954.35,63.707,2025.0,50.78,(-9-4-9),[4-90],Other/Random,23.96,"-9,-4,-9","4,-9,0",False,46.53,False,17.04,False,23.93,False,21.21
615,7.504,43.23,353.39,3065.36,51.506,801.0,31.94,(110),[001],Goss {110}<001>,5.65,"1,1,0","0,0,1",False,43.23,False,30.19,True,5.25,False,40.55
616,177.897,37.027,193.47,4693.15,91.901,5013.0,79.89,(110),[001],Goss {110}<001>,14.36,"1,1,0","0,0,1",False,37.03,False,34.8,True,11.86,False,37.04
617,4.225,13.033,349.77,5974.07,56.7,630.0,28.32,(001),[100],Cube {001}<100>,14.34,"0,0,1","1,0,0",True,13.03,False,45.42,True,6.19,False,39.31
618,321.739,56.525,44.75,6316.94,47.559,306.0,19.74,(-1-11),[101],Other/Random,37.07,"-1,-1,1","1,0,1",False,49.08,True,5.84,False,37.05,True,11.6
619,309.493,28.839,75.78,6407.65,71.896,4653.0,76.97,(9721),[-7-34],Other/Random,33.28,"9,7,21","-7,-3,4",False,28.84,False,26.13,False,35.76,False,25.25
620,158.014,20.91,191.8,7472.14,88.232,8370.0,103.23,(-21-8-56),[100],Other/Random,23.23,"-21,-8,-56","1,0,0",False,20.91,False,36.14,True,11.71,False,34.28
621,46.835,45.9,322.47,9197.0,38.0,27.0,5.86,(1-11),[-623],Other/Random,33.12,"1,-1,1","-6,2,3",False,45.9,True,8.95,False,31.6,False,24.27
622,84.952,42.575,314.2,9319.87,44.333,405.0,22.71,(-8-1-9),[-323627],Other/Random,40.77,"-8,-1,-9","-32,36,27",False,42.58,False,31.94,False,49.61,False,29.14
623,44.947,58.879,317.83,9333.6,39.0,90.0,10.7,(1-11),[8-6-3],Other/Random,39.68,"1,-1,1","8,-6,-3",False,52.71,True,4.14,False,39.67,False,18.08
624,30.167,32.423,309.07,10653.86,53.964,756.0,31.03,(539),[414-7],Other/Random,34.97,"5,3,9","4,14,-7",False,32.42,False,24.42,False,29.05,False,24.14
625,39.805,20.87,321.95,12374.31,83.557,10590.0,116.14,(8728),[100],Other/Random,20.94,"8,7,28","1,0,0",False,20.87,False,33.99,True,13.18,False,32.46
626,203.593,27.699,124.09,13607.11,53.625,576.0,27.08,(5210),[-10-189],Other/Random,30.41,"5,2,10","-10,-18,9",False,27.7,False,30.17,False,36.18,False,27.47
627,138.139,47.595,224.67,136.34,69.639,1818.0,48.11,(111),[8-5635],Other/Random,33.52,"1,1,1","8,-56,35",False,47.6,True,7.55,False,32.22,False,15.14
628,229.625,48.395,135.73,703.18,52.672,549.0,26.44,(-111),[56-16-35],Other/Random,33.96,"-1,1,1","56,-16,-35",False,48.39,True,7.3,False,35.22,False,18.78
629,181.783,23.606,160.79,1239.35,42.882,153.0,13.96,(409),[-2-71],Other/Random,27.72,"4,0,9","-2,-7,1",False,23.61,False,39.89,False,17.59,False,29.96
630,13.167,37.331,315.14,2765.77,47.077,117.0,12.21,(9212),[818-9],Other/Random,36.71,"9,2,12","8,18,-9",False,37.33,False,28.39,False,35.12,False,28.25
631,146.081,46.333,224.89,2806.31,50.906,288.0,19.15,(111),[10-1],Other/Random,31.77,"1,1,1","1,0,-1",False,46.33,True,11.97,False,30.7,True,14.31
632,338.858,10.635,26.62,4615.6,76.918,4590.0,76.45,(001),[100],Cube {001}<100>,11.96,"0,0,1","1,0,0",True,10.63,False,45.15,True,6.95,False,40.15
633,355.704,36.619,11.16,10072.09,44.182,99.0,11.23,(110),[001],Goss {110}<001>,11.85,"1,1,0","0,0,1",False,36.62,False,33.63,True,8.12,False,38.59
634,0.615,7.021,12.35,12058.18,55.957,414.0,22.96,(001),[100],Cube {001}<100>,14.74,"0,0,1","1,0,0",True,7.02,False,49.88,True,12.96,False,32.16
635,325.494,25.535,49.87,12214.2,63.799,1251.0,39.91,(-14-10-35),[1672-27],Other/Random,29.73,"-14,-10,-35","16,72,-27",False,25.53,False,29.88,False,22.79,False,27.75
636,328.215,15.487,47.34,12842.42,82.404,4095.0,72.21,(-14-9-63),[520-4],Other/Random,21.92,"-14,-9,-63","5,20,-4",False,15.49,False,39.77,False,18.32,False,32.35
637,167.412,31.647,180.51,12844.5,39.0,36.0,6.77,(-21-5-35),[100],Other/Random,18.06,"-21,-5,-35","1,0,0",False,31.65,False,31.44,True,12.16,False,32.85
638,13.796,32.025,310.65,13651.0,45.2,135.0,13.11,(21535),[610-5],Other/Random,33.35,"21,5,35","6,10,-5",False,32.02,False,30.7,False,38.18,False,27.42
639,147.755,36.523,223.05,15359.47,42.176,153.0,13.96,(-25-16-40),[-1-94],Other/Random,28.88,"-25,-16,-40","-1,-9,4",False,36.52,False,20.3,False,24.39,False,21.37
640,345.579,42.256,43.66,15804.01,85.173,4536.0,76.0,(-63-16-72),[2772-40],Other/Random,34.71,"-63,-16,-72","27,72,-40",False,42.26,False,25.84,False,34.12,False,23.98
641,149.137,47.051,215.65,16518.54,70.466,2745.0,59.12,(111),[2-189],Other/Random,26.15,"1,1,1","2,-18,9",False,47.05,True,13.36,False,25.68,False,20.13
642,37.273,52.979,323.45,734.04,79.442,2340.0,54.58,(1-11),[5-92],Other/Random,31.12,"1,-1,1","5,-9,2",False,50.55,True,6.48,False,31.08,False,19.65
643,208.253,53.385,124.34,862.27,58.394,639.0,28.52,(-111),[101],Other/Random,43.2,"-1,1,1","1,0,1",False,45.01,True,13.61,False,43.11,True,9.99
644,45.054,48.592,323.0,1975.55,75.975,4266.0,73.7,(1-11),[-935],Other/Random,33.02,"1,-1,1","-9,3,5",False,48.59,True,6.14,False,32.23,False,23.46
645,331.543,53.619,45.49,3683.3,66.632,1197.0,39.04,(-1-11),[101],Other/Random,35.13,"-1,-1,1","1,0,1",False,44.94,True,13.44,False,35.13,True,10.16
646,305.694,39.45,49.23,5560.63,56.314,630.0,28.32,(436),[-925],Other/Random,28.01,"4,3,6","-9,2,5",False,39.45,False,16.71,False,31.13,False,19.0
647,318.64,35.726,61.98,6306.0,43.5,18.0,4.79,(-10-9-18),[1656-35],Other/Random,33.64,"-10,-9,-18","16,56,-35",False,35.73,False,19.18,False,34.29,False,18.44
648,128.803,47.594,229.78,6743.46,63.75,1728.0,46.91,(111),[10-1],Other/Random,30.67,"1,1,1","1,0,-1",False,47.59,True,8.61,False,36.3,True,14.41
649,40.626,43.155,310.91,8785.69,70.23,3798.0,69.54,(1-11),[10-1],Other/Random,33.9,"1,-1,1","1,0,-1",False,43.16,True,12.04,False,31.13,True,13.88
650,45.238,54.178,324.13,9200.25,44.25,36.0,6.77,(1-11),[-351420],Other/Random,35.58,"1,-1,1","-35,14,20",False,54.18,True,0.59,False,35.5,False,24.27
651,188.161,42.691,135.1,9614.12,89.826,5274.0,81.95,(64972),[-40-7245],Other/Random,39.46,"64,9,72","-40,-72,45",False,42.69,False,29.84,False,39.21,False,27.59
652,202.725,16.28,187.13,11577.6,84.638,4653.0,76.97,(18763),[4-70],Other/Random,22.2,"18,7,63","4,-7,0",False,16.28,False,40.0,False,29.63,False,15.55
653,320.371,43.987,54.1,12003.53,65.679,2187.0,52.77,(-1-11),[101],Other/Random,34.74,"-1,-1,1","1,0,1",False,43.99,True,11.49,False,34.58,True,11.48
654,209.964,43.216,131.99,12597.0,43.5,18.0,4.79,(362045),[-5-3018],Other/Random,33.38,"36,20,45","-5,-30,18",False,43.22,False,16.11,False,31.77,False,16.05
655,196.988,50.015,134.43,12941.03,56.024,747.0,30.84,(-49-16-56),[-14216],Other/Random,36.53,"-49,-16,-56","-14,21,6",False,42.88,False,22.58,False,36.53,False,17.23
656,336.189,40.172,50.96,15031.82,57.395,684.0,29.51,(-7-3-9),[824-15],Other/Random,37.16,"-7,-3,-9","8,24,-15",False,40.17,False,21.21,False,35.33,False,21.38
657,159.438,2.106,158.18,15397.44,93.98,6174.0,88.66,(001),[110],Rotated Cube {001}<110>,3.36,"0,0,1","1,1,0",True,2.11,False,52.82,False,42.37,True,2.75
658,316.767,14.076,45.65,15652.84,62.971,1854.0,48.59,(001),[100],Cube {001}<100>,14.28,"0,0,1","1,0,0",True,14.08,False,40.67,True,10.13,False,35.01
659,40.354,19.063,299.78,15869.41,99.708,4806.0,78.23,(9836),[13-1],Other/Random,27.47,"9,8,36","1,3,-1",False,19.06,False,35.76,False,24.54,False,30.92
660,336.996,39.372,52.43,16731.98,86.492,5580.0,84.29,(-9-4-12),[1640-25],Other/Random,38.76,"-9,-4,-12","16,40,-25",False,39.37,False,22.09,False,36.8,False,22.82
