grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
46,28.805,53.045,313.69,2121.96,24.234,3582.0,67.53,(1-11),[10-1],Other/Random,35.46,"1,-1,1","1,0,-1",False,45.55,True,13.18,False,35.44,True,10.04
47,263.094,33.045,75.22,2121.0,0.0,45.0,7.57,(-45-8-72),[94-6],Other/Random,23.81,"-45,-8,-72","9,4,-6",False,33.04,False,33.45,False,39.29,False,23.06
48,190.624,22.278,150.68,2153.4,0.6,45.0,7.57,(18545),[-10-357],Other/Random,29.01,"18,5,45","-10,-35,7",False,22.28,False,37.84,False,19.87,False,29.97
49,195.528,25.49,138.17,2180.64,7.598,828.0,32.47,(32972),[-9-217],Other/Random,31.52,"32,9,72","-9,-21,7",False,25.49,False,34.2,False,28.47,False,27.04
50,155.195,33.15,180.83,2301.31,25.833,6363.0,90.01,(-21-10-35),[4-90],Other/Random,26.87,"-21,-10,-35","4,-9,0",False,33.15,False,25.52,False,24.11,False,20.89
51,178.768,30.673,162.43,2362.73,5.55,360.0,21.41,(-30-5),[12-42-7],Other/Random,23.41,"-3,0,-5","12,-42,-7",False,30.67,False,37.12,False,18.64,False,29.77
52,331.094,10.353,50.14,2391.31,38.84,5400.0,82.92,(001),[2156-8],Other/Random,23.6,"0,0,1","21,56,-8",True,10.35,False,44.85,False,22.17,False,25.42
53,315.861,31.1,56.87,2433.0,6.769,351.0,21.14,(-3-3-7),[214-7],Other/Random,30.95,"-3,-3,-7","2,14,-7",False,31.1,False,23.64,False,26.93,False,20.56
54,318.607,57.096,44.03,2459.49,22.718,2169.0,52.55,(-1-11),[101],Other/Random,37.93,"-1,-1,1","1,0,1",False,50.96,True,3.81,False,37.91,True,13.94
55,191.311,45.548,138.12,2521.85,21.818,3267.0,64.5,(515),[-21-5632],Other/Random,34.82,"5,1,5","-21,-56,32",False,45.55,False,27.22,False,34.74,False,23.36
56,154.443,50.36,220.42,2559.0,0.0,27.0,5.86,(16918),[-470],Other/Random,30.13,"16,9,18","-4,7,0",False,45.99,False,16.01,False,30.09,False,15.23
57,311.881,53.417,39.73,2585.43,42.137,4329.0,74.24,(-1-11),[-25-1640],Other/Random,37.48,"-1,-1,1","-25,-16,40",False,53.28,True,2.85,False,37.15,False,22.1
58,169.572,28.343,174.09,2612.66,8.614,1188.0,38.89,(-5-1-9),[2-70],Other/Random,22.79,"-5,-1,-9","2,-7,0",False,28.34,False,34.18,False,15.88,False,29.49
59,183.141,34.877,153.54,2655.0,1.5,72.0,9.57,(507),[-7-216],Other/Random,26.13,"5,0,7","-7,-21,6",False,34.88,False,34.78,False,23.95,False,29.58
60,174.775,29.782,159.07,2669.18,1.364,99.0,11.23,(-40-7),[20-45-9],Other/Random,29.47,"-4,0,-7","20,-45,-9",False,29.78,False,35.63,False,25.59,False,23.62
61,197.997,14.428,130.79,2727.22,24.414,3519.0,66.94,(001),[-36-6314],Other/Random,19.93,"0,0,1","-36,-63,14",True,14.43,False,42.23,False,32.02,False,18.21
62,147.458,39.227,241.42,2777.62,15.994,1575.0,44.78,(-6-4-9),[-14-3525],Other/Random,40.99,"-6,-4,-9","-14,-35,25",False,39.23,False,17.93,False,39.72,False,20.51
63,217.714,24.243,123.88,2805.33,2.333,81.0,10.16,(211656),[-16-5621],Other/Random,30.35,"21,16,56","-16,-56,21",False,24.24,False,30.8,False,25.3,False,28.32
64,239.556,8.714,104.24,2817.81,22.309,1341.0,41.32,(001),[72-1],Other/Random,18.38,"0,0,1","7,2,-1",True,8.71,False,46.34,False,18.08,False,30.06
65,78.204,8.419,285.4,2841.4,7.8,405.0,22.71,(001),[100],Cube {001}<100>,9.16,"0,0,1","1,0,0",True,8.42,False,47.84,True,8.94,False,37.03
66,95.49,17.898,263.73,2868.34,5.321,477.0,24.64,(103),[30-1],Other/Random,17.91,"1,0,3","3,0,-1",False,17.9,False,42.01,False,17.82,False,27.23
67,230.583,18.978,110.53,2898.27,3.0,198.0,15.88,(-9-8-36),[31-1],Other/Random,26.71,"-9,-8,-36","3,1,-1",False,18.98,False,35.88,False,24.93,False,31.07
68,241.098,8.638,95.04,2913.0,6.692,117.0,12.21,(001),[188-3],Other/Random,22.82,"0,0,1","18,8,-3",True,8.64,False,46.48,False,25.23,False,22.8
69,237.927,16.616,99.18,2945.4,20.52,2871.0,60.46,(-3-2-12),[156-5],Other/Random,27.59,"-3,-2,-12","15,6,-5",False,16.62,False,38.67,False,27.59,False,27.59
70,197.409,14.839,143.14,2996.38,5.491,477.0,24.64,(001),[-2-61],Other/Random,24.42,"0,0,1","-2,-6,1",True,14.84,False,41.98,False,20.46,False,27.81
